frame,t_sec,neck_tilt,ear_avg,neck_delta_abs,neck_alarm_8,neck_alarm_15
1000,34.056,,,0.0,0,0
1002,34.124,,,0.0,0,0
1004,34.192,,,0.0,0,0
1006,34.261,,,0.0,0,0
1008,34.329,,,0.0,0,0
1010,34.397,,,0.0,0,0
1012,34.465,,,0.0,0,0
1014,34.533,,,0.0,0,0
1016,34.601,,,0.0,0,0
1018,34.669,,,0.0,0,0
1020,34.737,,,0.0,0,0
1022,34.805,,,0.0,0,0
1024,34.874,,,0.0,0,0
1026,34.942,,,0.0,0,0
1028,35.01,,,0.0,0,0
1030,35.078,,,0.0,0,0
1032,35.146,,,0.0,0,0
1034,35.214,,,0.0,0,0
1036,35.282,,,0.0,0,0
1038,35.35,,,0.0,0,0
1040,35.418,,,0.0,0,0
1042,35.487,,,0.0,0,0
1044,35.555,,,0.0,0,0
1046,35.623,,,0.0,0,0
1048,35.691,,,0.0,0,0
1050,35.759,,,0.0,0,0
1052,35.827,,,0.0,0,0
1054,35.895,,,0.0,0,0
1056,35.963,,,0.0,0,0
1058,36.031,,,0.0,0,0
1060,36.1,,,0.0,0,0
1062,36.168,,,0.0,0,0
1064,36.236,,,0.0,0,0
1066,36.304,,,0.0,0,0
1068,36.372,,,0.0,0,0
1070,36.44,,,0.0,0,0
1072,36.508,,,0.0,0,0
1074,36.576,,,0.0,0,0
1076,36.644,,,0.0,0,0
1078,36.713,,,0.0,0,0
1080,36.781,,,0.0,0,0
1082,36.849,,,0.0,0,0
1084,36.917,,,0.0,0,0
1086,36.985,,,0.0,0,0
1088,37.053,,,0.0,0,0
1090,37.121,,,0.0,0,0
1092,37.189,,,0.0,0,0
1094,37.258,,,0.0,0,0
1096,37.326,,,0.0,0,0
1098,37.394,,,0.0,0,0
1100,37.462,,,0.0,0,0
